Term Code,Term Desc,Subj Code,Crse Numb,Seq Numb,Course,Crn,Course Title,Course Title - Xlst,Ptrm Start Date,Ptrm End Date,Coll Code,Coll Desc,Dept Code,Dept Desc,Camp Code,Camp Desc,Ssts Code,Credit Hrs,Sess Desc,Schd Code,Schd Desc,Bldg Code,Room Code,Begin Time,End Time,Day,CRN Count,Unique CRN,Seats Avail,Max Enrl,Enrl,Primary Instructor,Instructor,Primary Instr Fctg Desc,All Instructors
201515,Fall Quarter 15-16,DIGM,223,005,DIGM 223 005,14300,Creative Concept Design,Creative Concept Design,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Evening,L,Lecture,URBN,248,1800,2050,W,649,1,-1,17,18,"Zatz, Diane (Primary Instr)","Zatz, Diane",Adjunct Associate Professor,"Zatz, Diane"
201515,Fall Quarter 15-16,DIGM,223,006,DIGM 223 006,16967,Creative Concept Design,Creative Concept Design,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Day,L,Lecture,URBN,250,1830,2120,T,649,1,2,17,15,"Martin, Eric (Primary Instr)","Martin, Eric",,"Martin, Eric"
201515,Fall Quarter 15-16,DIGM,491,001,DIGM 491 001,15992,DIGM Sr. Proj. Studio,DIGM Sr. Proj. Studio,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3755,Cinema & Television,UC,University City,A,1,Undergraduate Day,U,Studio,URBN,202,0830,0920,T,649,1,0,6,6,,,,STAFF
201515,Fall Quarter 15-16,DIGM,491,002,DIGM 491 002,15993,DIGM Sr. Proj. Studio,DIGM Sr. Proj. Studio,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3755,Cinema & Television,UC,University City,A,1,Undergraduate Day,U,Studio,URBN,206,0830,0920,T,649,1,0,6,6,,,,STAFF
201515,Fall Quarter 15-16,DIGM,491,003,DIGM 491 003,15994,DIGM Sr. Proj. Studio,DIGM Sr. Proj. Studio,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3755,Cinema & Television,UC,University City,A,1,Undergraduate Day,U,Studio,URBN,239,0830,0920,T,649,1,0,6,6,,,,STAFF
201515,Fall Quarter 15-16,DIGM,491,004,DIGM 491 004,15995,DIGM Sr. Proj. Studio,DIGM Sr. Proj. Studio,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3755,Cinema & Television,UC,University City,A,1,Undergraduate Day,U,Studio,URBN,247,0830,0920,T,649,1,3,6,3,,,,STAFF
201515,Fall Quarter 15-16,DIGM,491,005,DIGM 491 005,15996,DIGM Sr. Proj. Studio,DIGM Sr. Proj. Studio,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3755,Cinema & Television,UC,University City,A,1,Undergraduate Day,U,Studio,URBN,248,0830,0920,T,649,1,1,6,5,,,,STAFF
201515,Fall Quarter 15-16,DIGM,491,006,DIGM 491 006,15997,DIGM Sr. Proj. Studio,DIGM Sr. Proj. Studio,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3755,Cinema & Television,UC,University City,A,1,Undergraduate Day,U,Studio,URBN,250,0830,0920,T,649,1,0,6,6,"Finamore, Troy (Primary Instr)","Finamore, Troy",Adjunct Instructor,"Finamore, Troy"
201515,Fall Quarter 15-16,DIGM,491,007,DIGM 491 007,15998,DIGM Sr. Proj. Studio,DIGM Sr. Proj. Studio,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3755,Cinema & Television,UC,University City,A,1,Undergraduate Day,U,Studio,URBN,252,0830,0920,T,649,1,0,7,7,"Zhu, Jichen (Primary Instr)","Zhu, Jichen",Assistant Professor,"Zhu, Jichen"
201515,Fall Quarter 15-16,DIGM,492,001,DIGM 492 001,11966,Sr Proj I - Dig Media,Sr Proj I - Dig Media,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Day,L,Lecture,URBN,ANNEX 110,0930,1220,T,649,1,9,50,41,"Lloyd, Robert (Primary Instr)","Lloyd, Robert",Adjunct Instructor,"Lloyd, Robert"
201515,Fall Quarter 15-16,DIGM,501,001,DIGM 501 001,13708,New Media: Hist/Theory/Methods,New Media: Hist/Theory/Methods,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Graduate Classes,L,Lecture,URBN,202,1230,1520,T,649,1,5,12,7,"Muschio, Glen (Primary Instr)","Muschio, Glen",Assistant Professor,"Muschio, Glen"
201515,Fall Quarter 15-16,DIGM,501,002,DIGM 501 002,13709,New Media: Hist/Theory/Methods,New Media: Hist/Theory/Methods,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Graduate Classes,L,Lecture,URBN,202,1230,1520,R,649,1,0,12,12,"Rank, Stefan (Primary Instr)","Rank, Stefan",Assistant Professor,"Rank, Stefan"
201515,Fall Quarter 15-16,DIGM,505,001,DIGM 505 001,15544,Design & Interactivity,Design & Interactivity,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Graduate Classes,L,Lecture,URBN,202,0930,1220,T,649,1,1,13,12,"Thompson, Jervis (Primary Instr)","Thompson, Jervis",Instructor,"Thompson, Jervis"
